"views","date_id","candidate"
11285,20160505,"Clinton"
26068,20160506,"Clinton"
19975,20160507,"Clinton"
11365,20160508,"Clinton"
13411,20160509,"Clinton"
29606,20160510,"Clinton"
14072,20160511,"Clinton"
8860,20160512,"Clinton"
5990,20160513,"Clinton"
5868,20160514,"Clinton"
5223,20160515,"Clinton"
22040,20160516,"Clinton"
415948,20160517,"Clinton"
137750,20160518,"Clinton"
30781,20160519,"Clinton"
13619,20160520,"Clinton"
12084,20160521,"Clinton"
8939,20160522,"Clinton"
7940,20160523,"Clinton"
10965,20160524,"Clinton"
8655,20160525,"Clinton"
6272,20160526,"Clinton"
8820,20160527,"Clinton"
6271,20160528,"Clinton"
6072,20160529,"Clinton"
5475,20160530,"Clinton"
6307,20160601,"Clinton"
8334,20160602,"Clinton"
16800,20160603,"Clinton"
18830,20160604,"Clinton"
19128,20160605,"Clinton"
90637,20160606,"Clinton"
331556,20160607,"Clinton"
421174,20160608,"Clinton"
822872,20160609,"Clinton"
502734,20160610,"Clinton"
130734,20160611,"Clinton"
231533,20160612,"Clinton"
138869,20160613,"Clinton"
304974,20160614,"Clinton"
241421,20160615,"Clinton"
284596,20160616,"Clinton"
225086,20160617,"Clinton"
290092,20160618,"Clinton"
261561,20160619,"Clinton"
111985,20160620,"Clinton"
62869,20160621,"Clinton"
44095,20160622,"Clinton"
43748,20160623,"Clinton"
48795,20160624,"Clinton"
44433,20160625,"Clinton"
134584,20160626,"Clinton"
75005,20160627,"Clinton"
146261,20160628,"Clinton"
27108,20160629,"Clinton"
27659,20160630,"Clinton"
24998,20160701,"Clinton"
11430,20160702,"Clinton"
8257,20160703,"Clinton"
7635,20160704,"Clinton"
13626,20160705,"Clinton"
13213,20160706,"Clinton"
13362,20160707,"Clinton"
11810,20160708,"Clinton"
33123,20160709,"Clinton"
31093,20160710,"Clinton"
61280,20160711,"Clinton"
126179,20160712,"Clinton"
115479,20160713,"Clinton"
342956,20160714,"Clinton"
282273,20160715,"Clinton"
186536,20160716,"Clinton"
154659,20160717,"Clinton"
466344,20160718,"Clinton"
240458,20160719,"Clinton"
164591,20160720,"Clinton"
180492,20160721,"Clinton"
170874,20160722,"Clinton"
152375,20160723,"Clinton"
145132,20160724,"Clinton"
170479,20160725,"Clinton"
166907,20160726,"Clinton"
141163,20160727,"Clinton"
144899,20160728,"Clinton"
163905,20160729,"Clinton"
62594,20160730,"Clinton"
53526,20160731,"Clinton"
63263,20160801,"Clinton"
88708,20160802,"Clinton"
81262,20160803,"Clinton"
146659,20160804,"Clinton"
212498,20160805,"Clinton"
182590,20160806,"Clinton"
182625,20160807,"Clinton"
139822,20160808,"Clinton"
77491,20160809,"Clinton"
71955,20160810,"Clinton"
43523,20160811,"Clinton"
49922,20160812,"Clinton"
48802,20160813,"Clinton"
47224,20160814,"Clinton"
47238,20160815,"Clinton"
47612,20160816,"Clinton"
47810,20160817,"Clinton"
79956,20160818,"Clinton"
69492,20160819,"Clinton"
45858,20160820,"Clinton"
39764,20160821,"Clinton"
174550,20160822,"Clinton"
111850,20160823,"Clinton"
130649,20160824,"Clinton"
93192,20160825,"Clinton"
205311,20160826,"Clinton"
255259,20160827,"Clinton"
137768,20160828,"Clinton"
5278,20151028,"Trump"
5356,20151029,"Trump"
5131,20151030,"Trump"
5115,20151031,"Trump"
5410,20151101,"Trump"
4895,20151102,"Trump"
5286,20151103,"Trump"
4806,20151104,"Trump"
5181,20151105,"Trump"
4597,20151106,"Trump"
5387,20151107,"Trump"
5840,20151108,"Trump"
4862,20151109,"Trump"
5214,20151110,"Trump"
5518,20151111,"Trump"
5697,20151112,"Trump"
4672,20151113,"Trump"
6398,20151114,"Trump"
5381,20151115,"Trump"
4367,20151116,"Trump"
4799,20151117,"Trump"
4636,20151118,"Trump"
4860,20151119,"Trump"
4954,20151120,"Trump"
5360,20151121,"Trump"
5583,20151122,"Trump"
4844,20151123,"Trump"
4767,20151124,"Trump"
4500,20151125,"Trump"
4540,20151126,"Trump"
4481,20151127,"Trump"
4529,20151128,"Trump"
4654,20151129,"Trump"
4543,20151130,"Trump"
4570,20151201,"Trump"
4425,20151202,"Trump"
4204,20151203,"Trump"
4399,20151204,"Trump"
4518,20151205,"Trump"
5137,20151206,"Trump"
5169,20151207,"Trump"
6918,20151208,"Trump"
7470,20151209,"Trump"
6564,20151210,"Trump"
6542,20151211,"Trump"
6846,20151212,"Trump"
6249,20151213,"Trump"
5412,20151214,"Trump"
6583,20151215,"Trump"
9225,20151216,"Trump"
9427,20151217,"Trump"
7690,20151218,"Trump"
7803,20151219,"Trump"
8034,20151220,"Trump"
6844,20151221,"Trump"
7498,20151222,"Trump"
7068,20151223,"Trump"
5824,20151224,"Trump"
5643,20151225,"Trump"
5771,20151226,"Trump"
5992,20151227,"Trump"
5930,20151228,"Trump"
6580,20151229,"Trump"
10281,20151230,"Trump"
6470,20151231,"Trump"
7790,20160101,"Trump"
10455,20160102,"Trump"
8175,20160103,"Trump"
7623,20160104,"Trump"
6710,20160105,"Trump"
6873,20160106,"Trump"
7067,20160107,"Trump"
7626,20160108,"Trump"
7637,20160109,"Trump"
7698,20160110,"Trump"
6668,20160111,"Trump"
6977,20160112,"Trump"
7041,20160113,"Trump"
7652,20160114,"Trump"
8565,20160115,"Trump"
37375,20160116,"Trump"
32864,20160117,"Trump"
59947,20160118,"Trump"
28910,20160119,"Trump"
31332,20160120,"Trump"
21452,20160121,"Trump"
68441,20160122,"Trump"
59333,20160123,"Trump"
35074,20160124,"Trump"
32728,20160125,"Trump"
27990,20160126,"Trump"
35905,20160127,"Trump"
35503,20160128,"Trump"
30823,20160129,"Trump"
67158,20160130,"Trump"
53677,20160131,"Trump"
91311,20160201,"Trump"
49991,20160202,"Trump"
29187,20160203,"Trump"
20723,20160204,"Trump"
14291,20160205,"Trump"
